model_id,dataset_name,n_questions_used,n_permutations,real_match_rate,shuffled_mean,shuffled_std,null_ci_lower,null_ci_upper,dependence,real_above_null,uniform_chance,log_params,size_b,family,is_quantized
Qwen/Qwen2.5-0.5B-Instruct,logiqa,100,1000,0.3205,0.2877,0.0064,0.276,0.301,0.0328,True,0.25,8.699,0.5,qwen,0
Qwen/Qwen2.5-1.5B-Instruct,logiqa,100,1000,0.457,0.2924,0.0213,0.2535,0.3355,0.1646,True,0.25,9.1761,1.5,qwen,0
Qwen/Qwen2.5-3B-Instruct,logiqa,100,1000,0.5595,0.2724,0.029,0.2175,0.3295,0.2871,True,0.25,9.4771,3.0,qwen,0
Qwen/Qwen2.5-7B-Instruct,logiqa,100,1000,0.6795,0.2659,0.0346,0.1995,0.3355,0.4136,True,0.25,9.8451,7.0,qwen,0
Qwen/Qwen2.5-14B-Instruct,logiqa,100,1000,0.788,0.2548,0.0386,0.18,0.3295,0.5332,True,0.25,10.1461,14.0,qwen,0
Qwen/Qwen2.5-32B-Instruct,logiqa,100,1000,0.7735,0.2575,0.038,0.1854,0.3295,0.516,True,0.25,10.5051,32.0,qwen,0
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,100,1000,0.7695,0.2557,0.0385,0.1855,0.3315,0.5138,True,0.25,10.8573,72.0,qwen,1
meta-llama/Llama-3.2-1B-Instruct,openbookqa,100,1000,0.577,0.2557,0.0294,0.2005,0.315,0.3213,True,0.25,9.0,1.0,llama,0
meta-llama/Llama-3.2-3B-Instruct,openbookqa,100,1000,0.757,0.2461,0.0374,0.1755,0.3195,0.5109,True,0.25,9.4771,3.0,llama,0
meta-llama/Llama-3.1-8B-Instruct,openbookqa,100,1000,0.8235,0.2468,0.0378,0.1775,0.3255,0.5767,True,0.25,9.9031,8.0,llama,0
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,97,1000,0.9237,0.2489,0.042,0.1685,0.3299,0.6748,True,0.25,10.8451,70.0,llama,1
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,100,1000,0.4295,0.2504,0.0182,0.2145,0.2875,0.1791,True,0.25,8.699,0.5,qwen,0
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,100,1000,0.7465,0.2444,0.0318,0.1835,0.3065,0.5021,True,0.25,9.1761,1.5,qwen,0
Qwen/Qwen2.5-3B-Instruct,openbookqa,100,1000,0.8355,0.2454,0.0365,0.177,0.3201,0.5901,True,0.25,9.4771,3.0,qwen,0
Qwen/Qwen2.5-7B-Instruct,openbookqa,100,1000,0.8655,0.2439,0.0388,0.17,0.3205,0.6216,True,0.25,9.8451,7.0,qwen,0
Qwen/Qwen2.5-14B-Instruct,openbookqa,99,1000,0.9167,0.2476,0.0406,0.1712,0.3278,0.6691,True,0.25,10.1461,14.0,qwen,0
Qwen/Qwen2.5-32B-Instruct,openbookqa,99,1000,0.9611,0.2473,0.0419,0.1697,0.3329,0.7138,True,0.25,10.5051,32.0,qwen,0
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,99,1000,0.9672,0.2437,0.0418,0.1656,0.3278,0.7235,True,0.25,10.8573,72.0,qwen,1
